To
11
8



3
7
12
14
miss





0

6
3
0




10
7
miss

10
0

0

14
15
score


free




0


3
9
10
0



14
0




1
5
0


5
10
0
15
0
12
free

0

0





0
14
9
miss


11
9
11
10
15
free



12
miss



10
score






9
10
0

wide



11
0
12
free
0






15
0


0




0





8
7
6
10
free

12
14
0


11
0


10
point


0

11
0



0

0

13
14



0




2
0
9
0

11
0

1
6
13
15
14
G

0

8
0
11
14
point

8
14
0


11
Point


11
0





0
0


8
7
Point

1
3
14
11
Goal

14
0


8
0


7
4
0


4
0




15
Point





7
12
Wide

9
8
Point

15
0



0


0

6
8
11
13
Point

10
0



8
0



3
7
12
15
13
6



3
8
13

Wide

8
0


6
0


15
0


4
0


15
12
Free



3
0




6
0


0



0

8
12
Point

9
0


12
14
0

0

8
10
0


0


5
13
0


10
12
Save





8
13
Point

8
13
Miss

11
Point

10
0


3
6
0


8
6
0





6
Free


4
0


15
Point

9
Point




15
Miss

0



12
9
 Wide

8
10
Point

Wide


6
8
10
Point

12
13
11
Free
