To


12
8
0





3
13
11
9
score

0



0
5
4
miss



0


0

0



3
0

12
7
14
free

12
0




10
2
0


3
7
15
0



free
0







0

free

3
11
9
7
miss




13
0






2
7
0


3
6
0


2
13
0


0



0

0

0





6
11
6
0
12
65


5
free

7
13
12
goal

15
8
14
13
65





0



11
0


11
wide


11
0

point


free
15
score

free

0


3
10
wide

10
free






0


0






0

0





0



9
0


9
0


7
14
13
12
Point


10
0



0





0


9
0


7
0



10
Save


10
5
11
Point


12
11
9
8
Save



0



0


7
0
Point

13
Point

0





0


9
7
0


7
10
0






10
13
0



0

0


5
0


1
0


10
Point


Free
0



2
11
Wide


5
11
14
Point


1
0

6
9
0

0



0


10
0



0

Block



9
0

6
Point



14
0



3
7
4
13
0



0



0


0


5
0



13
Score



6
7
6
5
0


4
Free


2
0


0


7
7
0
Free


0

12
9
0



0



0

12
0




0




