From


1
12
8





1
3
13
11
9

6



2
8
5
4



1


8

8



1
3

1
12
7
14

10
12




7
10
2


1
3
7
15



6
8







1

12

8
3
11
9
7




1
13






1
2
7


1
3
6


1
2
13


1



4

1

1





3
6
11
6
0
12


8
5

6
7
13
12

3
15
8
14
13





1



6
11


8
11


1
11

7


8
8
15

2

6


1
3
10

3
10






5


6






1

9





1



2
9


1
9


4
7
14
13
12


3
10



1





1


5
9


5
7



3
10


7
10
5
11


1
12
11
9
8



1



1


3
7
11

6
13

5





1


2
9
7


3
7
10






1
10
13



1

1


1
5


4
1


11
10


1
1



1
2
11


4
5
11
14


3
1

7
6
9

1



1


5
10



8

12



4
9

11
6



12
14



1
3
7
4
13



1



1


1


4
7



2
13



3
6
7
6
5


1
4


7
2


1


1
8
7
14


3

1
12
9



1



1

1
12




1




