From

9
9



11
3
7
12
14





1

7
6
3




1
10
7

5
10

5

8
14
15


11




1


4
3
9
10



2
14




2
1
5


4
5
10
8
15
11
12

10

1





1
0
14
9


10
11
9
11
10
15



13
12



11
10






2
9
10

15



10
11
0
12
11






1
15


1




1





1
8
7
6
10

9
12
14


2
11


1
10


2

1
11



1

2

7
13



1




1
2
12
9

2
11

3
1
6
13
15
14

8

6
8
10
11
14

5
8
14


2
11


2
11





1
13


4
8
7

8
1
3
14
11

2
14


10
8


2
7
4


1
4




1
15





1
7
12

3
9
8

7
15



1


1

10
6
8
11
13

2
10



2
8



8
3
7
12
15
13



4
3
8

6

9
8


4
6


4
15


1
4


7
15
12



1
3




1
6


3



4

3
8
12

8
9


8
12
14

2

6
8
10


9


1
5
13


4
10
12





15
8
13

2
8
13

9
11

1
10


6
3
6


1
8
6





5
6


1
4


7
15

6
9




7
15

14



2
12
9

6
8
10

5


5
6
8
10

8
12
13
11
